symbol,bidPrice,bidQty,askPrice,askQty
APPCETH,0.00000000,0.00000000,0.00000000,0.00000000
APPCBNB,0.00000000,0.00000000,0.00000000,0.00000000
VIBEBTC,0.00000132,1907.00000000,0.00000133,1907.00000000
VIBEETH,0.00000000,0.00000000,0.00000000,0.00000000
RLCBTC,0.00004448,93.00000000,0.00004474,223.00000000
RLCETH,0.00180200,0.23000000,0.00180600,28.76000000
RLCBNB,0.02482000,176.20000000,0.02505000,112.40000000
INSBTC,0.00001423,9.00000000,0.00001428,18.00000000
INSETH,0.00000000,0.00000000,0.00000000,0.00000000
PIVXBTC,0.00004781,366.00000000,0.00004795,77.00000000
PIVXETH,0.00193000,86.25000000,0.00194600,4592.93000000
PIVXBNB,0.00000000,0.00000000,0.00000000,0.00000000
IOSTBTC,0.00000049,42498132.00000000,0.00000050,16486857.00000000
IOSTETH,0.00002019,4400.00000000,0.00002025,209957.00000000
CHATBTC,0.00000000,0.00000000,0.00000000,0.00000000
CHATETH,0.00000000,0.00000000,0.00000000,0.00000000
STEEMBTC,0.00002120,7916.00000000,0.00002126,5447.00000000
STEEMETH,0.00085700,113.13000000,0.00086300,7272.77000000
STEEMBNB,0.01184000,14.70000000,0.01190000,27.60000000
NANOBTC,0.00009070,1739.90000000,0.00009110,1585.05000000
NANOETH,0.00367100,365.21000000,0.00368700,564.73000000
NANOBNB,0.00000000,0.00000000,0.00000000,0.00000000
VIABTC,0.00001759,14549.00000000,0.00001770,9486.00000000
VIAETH,0.00000000,0.00000000,0.00000000,0.00000000
VIABNB,0.00000000,0.00000000,0.00000000,0.00000000
BLZBTC,0.00000288,301349.00000000,0.00000289,345.00000000
BLZETH,0.00011639,172.00000000,0.00011769,172.00000000
BLZBNB,0.00160500,8853.00000000,0.00162600,39274.00000000
AEBTC,0.00001479,2521.00000000,0.00001484,788.00000000
AEETH,0.00059700,855.04000000,0.00060100,855.04000000
AEBNB,0.00000000,0.00000000,0.00000000,0.00000000
RPXBTC,0.00000000,0.00000000,0.00000000,0.00000000
RPXETH,0.00000000,0.00000000,0.00000000,0.00000000
RPXBNB,0.00000000,0.00000000,0.00000000,0.00000000
NCASHBTC,0.00000000,0.00000000,0.00000000,0.00000000
NCASHETH,0.00000135,9157217.00000000,0.00000136,13146.00000000
NCASHBNB,0.00000000,0.00000000,0.00000000,0.00000000
POABTC,0.00000122,92883.00000000,0.00000123,121907.00000000
POAETH,0.00000000,0.00000000,0.00000000,0.00000000
POABNB,0.00000000,0.00000000,0.00000000,0.00000000
ZILBTC,0.00000170,2325654.00000000,0.00000171,419430.00000000
ZILETH,0.00006886,31458.00000000,0.00006900,128.00000000
ZILBNB,0.00095160,16157.00000000,0.00095320,33029.00000000
ONTBTC,0.00006080,21919.36000000,0.00006100,4843.98000000
ONTETH,0.00246200,840.46000000,0.00246800,840.89000000
ONTBNB,0.03401000,7.90000000,0.03411000,1774.80000000
STORMBTC,0.00000034,24348933.00000000,0.00000035,10722969.00000000
STORMETH,0.00001384,172173.00000000,0.00001389,251129.00000000
STORMBNB,0.00000000,0.00000000,0.00000000,0.00000000
QTUMBNB,0.00000000,0.00000000,0.00000000,0.00000000
QTUMUSDT,1.83200000,257.19500000,1.83300000,932.52900000
XEMBTC,0.00000474,136357.00000000,0.00000476,28626.00000000
XEMETH,0.00019201,16207.00000000,0.00019291,21051.00000000
XEMBNB,0.00000000,0.00000000,0.00000000,0.00000000
WANBTC,0.00002080,3156.00000000,0.00002086,14.00000000
WANETH,0.00084300,17.92000000,0.00084500,26.40000000
WANBNB,0.01162000,48.00000000,0.01166000,21.00000000
WPRBTC,0.00000077,331864.00000000,0.00000078,308367.00000000
WPRETH,0.00000000,0.00000000,0.00000000,0.00000000
QLCBTC,0.00000133,227828.00000000,0.00000134,259.00000000
QLCETH,0.00005403,3577.00000000,0.00005418,3558.00000000
SYSBTC,0.00000311,140521.00000000,0.00000314,49907.00000000
SYSETH,0.00000000,0.00000000,0.00000000,0.00000000
SYSBNB,0.00000000,0.00000000,0.00000000,0.00000000
QLCBNB,0.00000000,0.00000000,0.00000000,0.00000000
GRSBTC,0.00002001,456.00000000,0.00002010,209.00000000
GRSETH,0.00000000,0.00000000,0.00000000,0.00000000
ADAUSDT,0.08815000,226.70000000,0.08817000,14766.00000000
ADABNB,0.00504200,7082.00000000,0.00504800,396.00000000
CLOAKBTC,0.00000000,0.00000000,0.00000000,0.00000000
CLOAKETH,0.00000000,0.00000000,0.00000000,0.00000000
GNTBTC,0.00000517,24777.00000000,0.00000521,2170.00000000
GNTETH,0.00020904,1566.00000000,0.00021151,4486.00000000
GNTBNB,0.00000000,0.00000000,0.00000000,0.00000000
LOOMBTC,0.00000193,1609.00000000,0.00000194,256502.00000000
LOOMETH,0.00007809,35000.00000000,0.00007859,6851.00000000
LOOMBNB,0.00000000,0.00000000,0.00000000,0.00000000
XRPUSDT,0.20364000,11614.60000000,0.20365000,256.20000000
BCNBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCNETH,0.00000700,3458.00000000,0.00000000,0.00000000
BCNBNB,0.00000000,0.00000000,0.00000000,0.00000000
REPBTC,0.00147500,53.62900000,0.00147800,53.60200000
REPETH,0.05960000,4.86100000,0.06012000,6.16200000
REPBNB,0.00000000,0.00000000,0.00000000,0.00000000
BTCTUSD,9755.72000000,0.17752200,9767.40000000,0.15590800
TUSDBTC,0.00000000,0.00000000,0.00000000,0.00000000
ETHTUSD,241.24000000,13.54291000,241.51000000,12.08004000
TUSDETH,0.00000000,0.00000000,0.00000000,0.00000000
TUSDBNB,0.00000000,0.00000000,0.00000000,0.00000000
ZENBTC,0.00063640,97.98000000,0.00063680,4.18000000
ZENETH,0.02569000,10.15700000,0.02582000,28.66400000
ZENBNB,0.35490000,0.34000000,0.35580000,44.94000000
SKYBTC,0.00004956,35.00000000,0.00004957,2.00000000
SKYETH,0.00000000,0.00000000,0.00000000,0.00000000
SKYBNB,0.00000000,0.00000000,0.00000000,0.00000000
EOSUSDT,2.71570000,5.60000000,2.71630000,355.30000000
EOSBNB,0.15520000,185.68000000,0.15540000,37.50000000
CVCBTC,0.00000283,91549.00000000,0.00000285,156840.00000000
CVCETH,0.00011458,3217.00000000,0.00011497,53.00000000
CVCBNB,0.00000000,0.00000000,0.00000000,0.00000000
THETABTC,0.00002873,4910.00000000,0.00002878,306.00000000
THETAETH,0.00116316,11.00000000,0.00116653,833.00000000
THETABNB,0.01602600,4072.00000000,0.01610800,1047.00000000
XRPBNB,0.01165000,50.10000000,0.01166000,138.50000000
TUSDUSDT,1.00000000,2552.60000000,1.00030000,2156.03000000
IOTAUSDT,0.24780000,13093.91000000,0.24800000,41.96000000
XLMUSDT,0.08160000,15904.70000000,0.08161000,32253.40000000
IOTXBTC,0.00000047,4940627.00000000,0.00000048,17312813.00000000
IOTXETH,0.00001924,11859.00000000,0.00001931,5204.00000000
QKCBTC,0.00000062,609886.00000000,0.00000063,1121919.00000000
QKCETH,0.00002530,10886.00000000,0.00002534,1000.00000000
AGIBTC,0.00000166,154316.00000000,0.00000168,157733.00000000
AGIETH,0.00000000,0.00000000,0.00000000,0.00000000
AGIBNB,0.00000000,0.00000000,0.00000000,0.00000000
NXSBTC,0.00001978,51.00000000,0.00001981,33369.00000000
NXSETH,0.00000000,0.00000000,0.00000000,0.00000000
NXSBNB,0.00000000,0.00000000,0.00000000,0.00000000
ENJBNB,0.01126900,2568.00000000,0.01137900,2063.00000000
DATABTC,0.00000631,8800.00000000,0.00000633,1220.00000000
DATAETH,0.00025556,61.00000000,0.00025636,3323.00000000
ONTUSDT,0.59440000,2282.88000000,0.59500000,1596.62000000
TRXBNB,0.00095900,255.00000000,0.00096000,48984.00000000
TRXUSDT,0.01675000,240960.40000000,0.01676000,606086.10000000
ETCUSDT,6.90730000,6.88000000,6.90940000,8.38000000
ETCBNB,0.39490000,72.54000000,0.39570000,72.58000000
ICXUSDT,0.33430000,5016.17000000,0.33470000,5604.60000000
SCBTC,0.00000029,1956378.00000000,0.00000030,86818061.00000000
SCETH,0.00001171,164517.00000000,0.00001177,877617.00000000
SCBNB,0.00016180,750.00000000,0.00016280,850000.00000000
NPXSBTC,0.00000000,0.00000000,0.00000000,0.00000000
NPXSETH,0.00000061,9903450.00000000,0.00000062,143434897.00000000
VENUSDT,0.00000000,0.00000000,0.00000000,0.00000000
KEYBTC,0.00000000,0.00000000,0.00000000,0.00000000
KEYETH,0.00000451,30000.00000000,0.00000453,50345.00000000
NASBTC,0.00003900,21.03000000,0.00003910,1293.73000000
NASETH,0.00158000,18.46000000,0.00158400,211.41000000
NASBNB,0.00000000,0.00000000,0.00000000,0.00000000
MFTBTC,0.00000000,0.00000000,0.00000000,0.00000000
MFTETH,0.00000349,395444.00000000,0.00000351,6783.00000000
MFTBNB,0.00004820,227060.00000000,0.00004860,15093.00000000
DENTBTC,0.00000000,0.00000000,0.00000000,0.00000000
DENTETH,0.00000087,2352603.00000000,0.00000088,12873460.00000000
ARDRBTC,0.00000520,15314.00000000,0.00000523,3948.00000000
ARDRETH,0.00000000,0.00000000,0.00000000,0.00000000
ARDRBNB,0.00000000,0.00000000,0.00000000,0.00000000
NULSUSDT,0.32950000,980.91000000,0.33000000,0.23000000
HOTBTC,0.00000006,2861921349.00000000,0.00000007,845209059.00000000
HOTETH,0.00000266,982313.00000000,0.00000267,162869.00000000
VETBTC,0.00000068,34376604.00000000,0.00000069,31797284.00000000
VETETH,0.00002764,1500.00000000,0.00002766,33812.00000000
VETUSDT,0.00666900,8450.00000000,0.00667500,14167.00000000
VETBNB,0.00038150,146509.00000000,0.00038280,66312.00000000
DOCKBTC,0.00000075,1984335.00000000,0.00000076,168839.00000000
DOCKETH,0.00003061,341.00000000,0.00003077,6443.00000000
POLYBTC,0.00000463,77545.00000000,0.00000466,84.00000000
POLYBNB,0.00000000,0.00000000,0.00000000,0.00000000
PHXBTC,0.00000000,0.00000000,0.00000000,0.00000000
PHXETH,0.00000000,0.00000000,0.00000000,0.00000000
PHXBNB,0.00000000,0.00000000,0.00000000,0.00000000
HCBTC,0.00013770,1538.49000000,0.00013780,0.73000000
HCETH,0.00000000,0.00000000,0.00000000,0.00000000
GOBTC,0.00000101,916964.00000000,0.00000102,520248.00000000
GOBNB,0.00000000,0.00000000,0.00000000,0.00000000
PAXBTC,0.00000000,0.00000000,0.00000000,0.00000000
PAXBNB,0.00000000,0.00000000,0.00000000,0.00000000
PAXUSDT,0.99990000,26755.20000000,1.00000000,1879.02000000
PAXETH,0.00000000,0.00000000,0.00000000,0.00000000
RVNBTC,0.00000207,1229326.00000000,0.00000208,1123863.00000000
RVNBNB,0.00115900,351.00000000,0.00116100,76272.00000000
DCRBTC,0.00186600,0.23500000,0.00186900,0.18500000
DCRBNB,0.00000000,0.00000000,0.00000000,0.00000000
USDCBNB,0.00000000,0.00000000,0.00000000,0.00000000
MITHBTC,0.00000056,2449654.00000000,0.00000057,692037.00000000
MITHBNB,0.00031300,161011.00000000,0.00031800,7119.00000000
BCHABCBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCHSVBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCHABCUSDT,0.00000000,0.00000000,0.00000000,0.00000000
BCHSVUSDT,0.00000000,0.00000000,0.00000000,0.00000000
BNBPAX,17.44860000,1.89000000,17.49740000,41.29000000
BTCPAX,9760.00000000,0.06797300,9768.07000000,0.12706500
ETHPAX,241.16000000,17.04828000,241.57000000,4.52296000
XRPPAX,0.20348000,3305.30000000,0.20377000,3146.30000000
EOSPAX,2.70780000,17.84000000,2.71850000,22.00000000
XLMPAX,0.00000000,0.00000000,0.00000000,0.00000000
RENBTC,0.00000922,7804.00000000,0.00000925,4982.00000000
RENBNB,0.00000000,0.00000000,0.00000000,0.00000000
BNBTUSD,17.44740000,44.00000000,17.49930000,44.00000000
XRPTUSD,0.20348000,4094.00000000,0.20377000,4094.00000000
EOSTUSD,2.71000000,242.17000000,2.72550000,242.17000000
XLMTUSD,0.00000000,0.00000000,0.00000000,0.00000000
BNBUSDC,17.45180000,33.71000000,17.49420000,33.71000000
BTCUSDC,9757.49000000,0.01172400,9764.98000000,0.00400000
ETHUSDC,241.26000000,17.36819000,241.51000000,92.28157000
XRPUSDC,0.20351000,2472.20000000,0.20377000,2472.10000000
