id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
178090119,0.02527600,6.96600000,0.17607261,1591233047205,True,True
178090120,0.02527600,1.28100000,0.03237855,1591233053901,True,True
178090121,0.02528000,0.00700000,0.00017696,1591233055760,False,True
178090122,0.02528100,1.99300000,0.05038503,1591233055760,False,True
178090123,0.02527800,0.01000000,0.00025278,1591233055970,True,True
178090124,0.02527600,0.00600000,0.00015165,1591233055997,True,True
178090125,0.02527600,3.45300000,0.08727802,1591233055997,True,True
178090126,0.02527500,0.00700000,0.00017692,1591233056012,True,True
178090127,0.02527000,2.64300000,0.06678861,1591233056012,True,True
178090128,0.02526900,0.80900000,0.02044262,1591233056012,True,True
178090129,0.02527400,0.07300000,0.00184500,1591233056785,False,True
178090130,0.02527400,0.02600000,0.00065712,1591233056827,False,True
178090131,0.02527400,0.01200000,0.00030328,1591233057397,False,True
178090132,0.02527000,0.00700000,0.00017689,1591233058997,True,True
178090133,0.02527000,0.08000000,0.00202160,1591233058997,True,True
178090134,0.02527000,0.01700000,0.00042959,1591233058997,True,True
178090135,0.02527300,1.39100000,0.03515474,1591233059749,False,True
178090136,0.02527400,13.75900000,0.34774496,1591233059749,False,True
178090137,0.02527000,0.10000000,0.00252700,1591233059846,True,True
178090138,0.02526900,0.35300000,0.00891995,1591233061495,True,True
178090139,0.02527300,0.00700000,0.00017691,1591233061934,False,True
178090140,0.02527400,0.24400000,0.00616685,1591233061934,False,True
178090141,0.02527400,0.04200000,0.00106150,1591233061989,False,True
178090142,0.02526900,0.06100000,0.00154140,1591233061993,True,True
178090143,0.02527400,0.00400000,0.00010109,1591233063020,False,True
178090144,0.02527400,0.09400000,0.00237575,1591233064605,False,True
178090145,0.02527000,0.39700000,0.01003219,1591233066383,True,True
178090146,0.02527000,0.11400000,0.00288078,1591233066451,True,True
178090147,0.02527400,1.67700000,0.04238449,1591233068737,False,True
178090148,0.02527400,0.28000000,0.00707672,1591233068752,False,True
178090149,0.02527400,2.17400000,0.05494567,1591233068753,False,True
178090150,0.02527400,0.66300000,0.01675666,1591233068839,False,True
178090151,0.02527400,0.13300000,0.00336144,1591233070396,False,True
178090152,0.02527400,0.24000000,0.00606576,1591233072172,False,True
178090153,0.02527400,0.65000000,0.01642810,1591233072384,False,True
178090154,0.02527400,3.63900000,0.09197208,1591233074469,False,True
178090155,0.02527400,5.00000000,0.12637000,1591233074788,False,True
178090156,0.02527400,3.14600000,0.07951200,1591233075196,False,True
178090157,0.02527400,0.97500000,0.02464215,1591233076753,True,True
178090158,0.02527700,0.00700000,0.00017693,1591233078430,False,True
178090159,0.02527800,0.49300000,0.01246205,1591233078430,False,True
178090160,0.02527300,0.00700000,0.00017691,1591233087190,True,True
178090161,0.02527100,0.98900000,0.02499301,1591233087190,True,True
178090162,0.02527100,1.07900000,0.02726740,1591233087190,True,True
178090163,0.02527200,0.00700000,0.00017690,1591233087360,True,True
178090164,0.02527100,0.98900000,0.02499301,1591233087457,True,True
178090165,0.02527100,0.00100000,0.00002527,1591233087689,True,True
178090166,0.02526600,5.28200000,0.13345501,1591233087689,True,True
178090167,0.02526600,1.25300000,0.03165829,1591233087871,True,True
178090168,0.02526700,0.04200000,0.00106121,1591233088184,False,True
178090169,0.02526400,2.51300000,0.06348843,1591233089122,True,True
178090170,0.02526900,0.00500000,0.00012634,1591233089405,False,True
178090171,0.02526700,0.41800000,0.01056160,1591233095228,True,True
178090172,0.02526600,3.54700000,0.08961850,1591233095228,True,True
178090173,0.02526600,0.35600000,0.00899469,1591233095235,True,True
178090174,0.02526600,0.00600000,0.00015159,1591233095267,True,True
178090175,0.02526500,0.11400000,0.00288021,1591233095267,True,True
178090176,0.02526700,0.21600000,0.00545767,1591233108878,True,True
178090177,0.02526700,0.39600000,0.01000573,1591233108926,True,True
178090178,0.02526700,0.39600000,0.01000573,1591233108934,True,True
178090179,0.02526700,0.39600000,0.01000573,1591233108934,True,True
178090180,0.02526700,0.39600000,0.01000573,1591233108935,True,True
178090181,0.02526700,0.39600000,0.01000573,1591233108935,True,True
178090182,0.02526700,0.39600000,0.01000573,1591233108936,True,True
178090183,0.02526700,0.27600000,0.00697369,1591233108941,True,True
178090184,0.02526600,0.12000000,0.00303192,1591233108941,True,True
178090185,0.02526600,0.71000000,0.01793886,1591233108944,True,True
178090186,0.02526600,0.04500000,0.00113697,1591233108952,True,True
178090187,0.02526600,0.59900000,0.01513433,1591233108992,True,True
178090188,0.02526600,0.01800000,0.00045478,1591233109004,True,True
178090189,0.02526600,1.04400000,0.02637770,1591233109236,True,True
178090190,0.02526600,0.97300000,0.02458381,1591233109238,True,True
178090191,0.02526600,0.68300000,0.01725667,1591233109247,True,True
178090192,0.02526600,0.33000000,0.00833778,1591233109247,True,True
178090193,0.02526900,0.00700000,0.00017688,1591233111447,False,True
178090194,0.02527200,2.07300000,0.05238885,1591233111447,False,True
178090195,0.02526700,2.07900000,0.05253009,1591233111500,True,True
178090196,0.02527100,0.00700000,0.00017689,1591233111551,False,True
178090197,0.02527200,0.39300000,0.00993189,1591233111551,False,True
178090198,0.02527300,1.67700000,0.04238282,1591233111551,False,True
178090199,0.02527100,1.69200000,0.04275853,1591233113819,False,True
178090200,0.02527300,0.12200000,0.00308330,1591233119189,False,True
